id,name,long_name,named_place,station_type,basin,lon,lat,alt,start_date,end_date,is_open,is_public,department_id,is_daily,is_hourly,is_minutely
60639001,BEAUVAIS-TILLE,TILLE (BEAUVAIS-TILLE),AEROP.,0,H214,2.127167,49.4465,89,1940-07-01,,true,true,60,true,true,true
34052001,CAPESTANG,CAPESTANG,QUAI DU CANAL,4,Y161,3.046667,43.33,30,1873-12-01,1992-01-31,true,true,34,true,false,false
14762003,VIRE_SAINT-GERVAIS,VIRE NORMANDIE (VIRE_SAINT-GERVAIS),SAINT-GERVAIS,4,I412,-0.885,48.843333,190,1894-12-01,1924-11-30,true,true,14,true,false,false
60245002,FORMERIE,FORMERIE,PARC DE L'EQUIPEMENT,2,H210,1.721667,49.653333,226,1985-01-01,2001-11-30,false,true,60,true,true,false
60363001,LIERVILLE,LIERVILLE,Vexin Bio Gaz,2,H228,1.895,49.193333,105,1959-01-01,,true,true,60,true,true,true
34055001,CASTANET-LE-HAUT,CASTANET-LE-HAUT,BOURG,4,Y252,2.953333,43.688333,450,1960-06-01,1981-12-31,true,true,34,true,false,false
61169003,FLERS,LA LANDE-PATRY (FLERS),AERODROME,1,I246,-0.5895,48.75,195,1997-01-01,,true,true,61,true,true,true
61377001,ST CORNIER-DES-LANDES,TINCHEBRAY-BOCAGE (ST CORNIER-DES-LANDES),LE BOURG VOLE,2,M311,-0.7295,48.7235,306,1951-01-01,,true,true,61,true,true,true
21274001,FOISSY ECOLE,FOISSY (FOISSY ECOLE),ECOLE,4,K121,4.561667,47.121667,450,1856-01-01,1858-12-31,true,true,21,true,false,false
34055002,CASTANET-LE-HAUT,CASTANET-LE-HAUT,LE PERAS,4,Y252,2.983,43.683333,625,1982-01-01,2020-01-01,true,true,34,true,false,false
62516002,LILLERS,LILLERS,RUELLE DES BRIQUETIAUX,1,E363,2.4965,50.5795,19,2002-04-01,,true,true,62,true,true,true
62826001,LE-TOUQUET,LE TOUQUET-PARIS-PLAGE (LE-TOUQUET),AEROD.,0,E549,1.622833,50.5145,5,1947-01-01,,true,true,62,true,true,true
67462004,SELESTAT SA,SELESTAT (SELESTAT SA),RUNTZFELD,1,A236,7.478333,48.272833,173,1992-03-01,,true,true,67,true,true,true
62260001,CROIX-EN-TER,RAMECOURT (CROIX-EN-TER),PEPINIERE TIERNY,2,E540,2.298333,50.376667,121,1987-10-01,1994-12-31,false,true,62,true,true,false
