code_insee,commune,departement,feu_foret_present,statut,specifique
05135,Sainte-Colombe,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05133,Saint-Chaffrey,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05130,Saint-Apollinaire,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05132,Saint-Bonnet-en-Champsaur,05,True,Risque Existant,
05136,Saint-Crépin,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05144,Saint-Jacques-en-Valgodemard,05,,erreur,Remote end closed connection without response
05147,Saint-Julien-en-Champsaur,05,,erreur,Remote end closed connection without response
05148,Saint-Laurent-du-Cros,05,,erreur,Remote end closed connection without response
05131,Saint-Auban-d'Oze,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05152,Saint-Maurice-en-Valgodemard,05,,erreur,Remote end closed connection without response
05140,Saint-Étienne-le-Laus,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05134,Saint-Clément-sur-Durance,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05129,Saint-André-de-Rosans,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05153,Saint-Michel-de-Chaillol,05,,erreur,Remote end closed connection without response
05156,Saint-Sauveur,05,,erreur,Remote end closed connection without response
05154,Saint-Pierre-d'Argençon,05,,erreur,Remote end closed connection without response
05159,Saléon,05,,erreur,Remote end closed connection without response
05139,Dévoluy,05,,erreur,HTTP Error 404: 
05146,Saint-Julien-en-Beauchêne,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05161,La Salle-les-Alpes,05,,erreur,Remote end closed connection without response
05163,Le Sauze-du-Lac,05,,erreur,Remote end closed connection without response
05145,Saint-Jean-Saint-Nicolas,05,True,Risque Existant,
05155,Saint-Pierre-Avez,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05149,Saint-Léger-les-Mélèzes,05,True,Risque Existant,
05151,Saint-Martin-de-Queyrières,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05158,Le Saix,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05166,Serres,05,,erreur,Remote end closed connection without response
05167,Sigottier,05,,erreur,Remote end closed connection without response
05170,Tallard,05,,erreur,Remote end closed connection without response
05142,Saint-Firmin,05,True,Risque Existant,
05172,Trescléoux,05,,erreur,Remote end closed connection without response
05173,Upaix,05,,erreur,Remote end closed connection without response
05176,Valserres,05,,erreur,Remote end closed connection without response
05162,La Saulce,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05177,Vars,05,,erreur,Remote end closed connection without response
05178,Ventavon,05,,erreur,Remote end closed connection without response
05160,Salérans,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05179,Veynes,05,,erreur,Remote end closed connection without response
05180,Les Vigneaux,05,,erreur,Remote end closed connection without response
05181,Villar-d'Arêne,05,,erreur,Remote end closed connection without response
05182,Villar-Loubière,05,,erreur,Remote end closed connection without response
05164,Savines-le-Lac,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05183,Villar-Saint-Pancrace,05,,erreur,Remote end closed connection without response
05184,Vitrolles,05,,erreur,Remote end closed connection without response
06002,Amirat,06,,erreur,Remote end closed connection without response
06001,Aiglun,06,,erreur,Remote end closed connection without response
06004,Antibes,06,,erreur,Remote end closed connection without response
06003,Andon,06,,erreur,Remote end closed connection without response
06005,Ascros,06,,erreur,Remote end closed connection without response
06008,Auvare,06,,erreur,Remote end closed connection without response
06007,Auribeau-sur-Siagne,06,,erreur,Remote end closed connection without response
06006,Aspremont,06,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06009,Bairols,06,,erreur,Remote end closed connection without response
06012,Beausoleil,06,,erreur,Remote end closed connection without response
06010,Le Bar-sur-Loup,06,,erreur,Remote end closed connection without response
06011,Beaulieu-sur-Mer,06,,erreur,Remote end closed connection without response
06013,Belvédère,06,,erreur,Remote end closed connection without response
06014,Bendejun,06,,erreur,Remote end closed connection without response
06015,Berre-les-Alpes,06,,erreur,Remote end closed connection without response
06017,Bézaudun-les-Alpes,06,,erreur,Remote end closed connection without response
06016,Beuil,06,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06019,Blausasc,06,,erreur,Remote end closed connection without response
06018,Biot,06,,erreur,Remote end closed connection without response
06021,Bonson,06,,erreur,Remote end closed connection without response
06023,Breil-sur-Roya,06,,erreur,Remote end closed connection without response
06022,Bouyon,06,,erreur,Remote end closed connection without response
06020,La Bollène-Vésubie,06,,erreur,Remote end closed connection without response
06025,Le Broc,06,,erreur,Remote end closed connection without response
06024,Briançonnet,06,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06026,Cabris,06,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
05171,Théus,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06029,Cannes,06,,erreur,Remote end closed connection without response
06030,Le Cannet,06,,erreur,Remote end closed connection without response
06031,Cantaron,06,,erreur,Remote end closed connection without response
05169,Sorbiers,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06027,Cagnes-sur-Mer,06,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06032,Cap-d'Ail,06,,erreur,Remote end closed connection without response
05165,Savournon,05,,erreur,HTTP Error 404: 
05157,Saint-Véran,05,True,Risque Existant,
05168,Sigoyer,05,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06033,Carros,06,,erreur,Remote end closed connection without response
06040,Châteauneuf-d'Entraunes,06,,erreur,Remote end closed connection without response
06035,Castellar,06,,erreur,Remote end closed connection without response
06034,Castagniers,06,,erreur,Remote end closed connection without response
06038,Châteauneuf-Grasse,06,,erreur,Remote end closed connection without response
06037,Caussols,06,,erreur,Remote end closed connection without response
06036,Castillon,06,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06041,Cipières,06,,erreur,Remote end closed connection without response
06045,Collongues,06,,erreur,Remote end closed connection without response
06046,Colomars,06,,erreur,Remote end closed connection without response
06044,La Colle-sur-Loup,06,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
06047,Conségudes,06,,erreur,Remote end closed connection without response
06048,Contes,06,,erreur,Remote end closed connection without response
06049,Courmes,06,,erreur,Remote end closed connection without response
06050,Coursegoules,06,,erreur,Remote end closed connection without response
06051,La Croix-sur-Roudoule,06,,erreur,Remote end closed connection without response
06055,Duranus,06,,erreur,Remote end closed connection without response
06054,Drap,06,,erreur,Remote end closed connection without response
06056,Entraunes,06,,erreur,Remote end closed connection without response
06059,Èze,06,,erreur,Remote end closed connection without response
06057,L'Escarène,06,,erreur,Remote end closed connection without response
